model,niche,n_samples,n_papers,resolved_rate,not_found_rate,us_share,mad_vs_niche,mad_vs_overall,fame_gap,tier_agreement_niche,affiliation_self_report_agreement
claude-sonnet-4-6,se,3,45,0.6222222222222222,0.06666666666666667,0.4,17.375,11.25,6.125,0.5,0.352112676056338
claude-sonnet-4-6,vision,3,45,0.9555555555555556,0.022222222222222223,0.5777777777777777,10.666666666666666,7.0,3.666666666666666,0.3333333333333333,0.352112676056338
gemini-3.1-pro-preview,se,3,45,0.9777777777777777,0.0,0.8,10.0,15.25,-5.25,0.6666666666666666,0.4606741573033708
gemini-3.1-pro-preview,vision,3,45,1.0,0.0,0.5333333333333333,11.0,6.375,4.625,0.5,0.4606741573033708
gpt-5.4,se,3,45,0.5777777777777777,0.044444444444444446,0.5333333333333333,13.625,14.416666666666666,-0.7916666666666661,0.75,0.32857142857142857
gpt-5.4,vision,3,45,0.9777777777777777,0.0,0.4888888888888889,15.666666666666666,15.3,0.36666666666666536,0.3333333333333333,0.32857142857142857
qwen2.5:3b,se,5,56,0.0,0.8035714285714286,0.32142857142857145,29.9,15.25,14.649999999999999,0.0,
qwen2.5:3b,vision,5,75,0.0,0.9066666666666666,0.37333333333333335,26.25,13.8,12.45,0.25,
