model,niche,n_rankings,mean_abs_deviation,std_abs_deviation,mean_spearman,mean_kendall,mean_top5_overlap,mean_match_rate
claude-sonnet-4-6,se,3,15.714285714285715,0.31134992453861937,0.007407864697120309,0.01895040912953675,0.4000000000000001,0.9333333333333332
claude-sonnet-4-6,vision,3,8.304761904761904,0.36848651661244036,0.38891941391941387,0.2717948717948718,0.7333333333333334,0.9777777777777779
gemini-3.1-pro-preview,se,3,14.203296703296703,0.12050391318385374,0.06737247484686752,0.05721459850461641,0.4000000000000001,0.888888888888889
gemini-3.1-pro-preview,vision,3,6.288888888888889,0.21430335024428776,0.6892857142857142,0.48571428571428577,0.8000000000000002,1.0
gpt-5.4,se,3,16.28205128205128,0.3468653656017616,0.001857190348760418,0.017792017089454125,0.4000000000000001,0.8666666666666667
gpt-5.4,vision,3,7.588888888888889,0.2989146403358407,0.5350732600732601,0.34993894993895,0.7333333333333334,0.9555555555555556
qwen2.5:3b,se,3,16.846833721833722,0.5209881739069324,0.2805075576157419,0.19978321112252692,0.6,0.7999999999999999
qwen2.5:3b,vision,3,11.950000000000001,2.2254213084267884,0.5456405016968136,0.36663416991235875,0.6666666666666666,0.9777777777777779
