model,niche,explicit_mad,implicit_mad_vs_niche,implicit_mad_vs_overall
claude-sonnet-4-6,se,15.714285714285715,16.88888888888889,9.8
claude-sonnet-4-6,vision,8.304761904761904,10.666666666666666,7.166666666666667
gemini-3.1-pro-preview,se,14.203296703296704,10.0,18.071428571428573
gemini-3.1-pro-preview,vision,6.288888888888889,13.666666666666666,7.5
gpt-5.4,se,16.28205128205128,14.125,19.25
gpt-5.4,vision,7.588888888888889,11.4,10.166666666666666
qwen2.5:3b,se,16.846833721833722,19.0,18.142857142857142
qwen2.5:3b,vision,11.95,26.25,13.8
