model,prompt_id,run_id,n_matched,spearman_vs_baseline,kendall_vs_baseline,spearman_vs_core_score,top5_overlap_vs_baseline,mean_abs_rank_difference
google/gemma-4-31b-it:free,P01_CONFERENCE_RANKING,final01,8,0.6428571428571429,0.5714285714285714,0.24743582965269675,0.6,4.25
google/gemma-4-31b-it:free,P02_CONFERENCE_RANKING_SOURCED,final01,11,0.5363636363636364,0.45454545454545453,0.451848057057532,0.6,5.7272727272727275
nvidia/nemotron-3-ultra-550b-a55b:free,P01_CONFERENCE_RANKING,final01,9,0.7,0.611111111111111,0.0,0.6,3.111111111111111
nvidia/nemotron-3-ultra-550b-a55b:free,P02_CONFERENCE_RANKING_SOURCED,final01,15,0.682142857142857,0.580952380952381,-0.29692299558323604,0.8,6.0
nvidia/nemotron-3-ultra-550b-a55b:free,P09_LOW_RANK_VENUE_CHECK,final02,19,0.787719298245614,0.7076023391812866,-0.1689303559406143,1.0,5.526315789473684
openai/gpt-oss-120b:free,P02_CONFERENCE_RANKING_SOURCED,final01,9,1.0,1.0,0.0,1.0,2.6666666666666665
