model,niche,gt,n_papers_usable,n_institutions_matched,coverage,mad,spearman,kendall,tier_agreement
qwen2.5:3b,se,niche,71,5,0.08450704225352113,19.0,-0.35355339059327373,-0.31622776601683794,0.2
qwen2.5:3b,se,overall,71,7,0.1267605633802817,18.142857142857142,-0.15811388300841894,-0.13801311186847084,0.42857142857142855
qwen2.5:3b,vision,niche,75,8,0.32,26.25,0.8286273017161361,0.6719368409052928,0.25
qwen2.5:3b,vision,overall,75,5,0.13333333333333333,13.8,0.47434164902525683,0.44721359549995787,0.2
